Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Katherine Cross,06/14/2022,12:53:45,Papeles,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Mike Herrera,07/13/2022,15:56:31,Vehiculo,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Mr. Daniel Lewis,04/07/2022,23:43:37,Vehiculo,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Scott Young,03/25/2022,02:09:52,Celular,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Peter Baker,07/24/2022,10:23:23,Billetera,Cerca a la universidad nacional de Colombia,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Mr. Noah Porter MD,05/12/2022,04:08:53,Papeles,En el centro de la ciudad,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Gabrielle Brown,06/17/2022,01:11:05,Vehiculo,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Olivia Davis,02/14/2022,16:11:50,Papeles,En el centro de la ciudad,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Amy Kramer,04/06/2022,01:17:09,Computador,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
John Tyler,06/17/2022,02:01:59,Vehiculo,En el centro de la ciudad,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Jack Martinez,06/15/2022,16:16:19,Bicicleta,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
