Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Mercedes Spencer,07/29/2022,08:41:23,Billetera,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Christopher Sutton,06/20/2022,04:27:24,Papeles,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Laura Craig,05/04/2022,21:18:08,Computador,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Lindsay Fox,06/24/2022,21:40:21,Bolso,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Elizabeth Gonzales,02/02/2022,17:46:30,Bolso,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Bryan Fox,08/02/2022,11:38:44,Bicicleta,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Angela Vaughan,05/19/2022,15:20:06,Bicicleta,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Brittany Chapman,01/22/2022,15:31:53,Papeles,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Donna Mahoney,03/09/2022,11:15:38,Vehiculo,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Benjamin Cook,05/05/2022,18:18:57,Papeles,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Michael Williams,07/24/2022,10:26:45,Bolso,Cerca a la universidad nacional de Colombia,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Colleen Nolan,06/01/2022,21:29:04,Billetera,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Susan Barnes,06/06/2022,23:26:50,Bicicleta,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Tyrone Cortez,04/09/2022,20:25:38,Vehiculo,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
James Miller,03/23/2022,13:11:01,Bicicleta,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
William Martinez,01/24/2022,21:56:32,Vehiculo,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Katherine Reese,06/20/2022,13:57:46,Billetera,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Joshua Lopez,01/22/2022,11:33:21,Bicicleta,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kristen Simmons,07/02/2022,09:58:50,Papeles,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Gloria Nicholson,03/18/2022,19:30:21,Bicicleta,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Dr. Thomas Long DVM,01/03/2022,01:11:49,Billetera,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Lisa Ramos,04/15/2022,22:53:22,Billetera,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Rodney Ball,06/29/2022,14:57:04,Billetera,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kristina Miller,06/11/2022,12:13:19,Bicicleta,Cerca a la universidad nacional de Colombia,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Nancy Brown,04/25/2022,21:13:05,Celular,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Heather Taylor,02/25/2022,05:56:11,Computador,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Sara Shea,01/13/2022,14:25:32,Bicicleta,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Carolyn Campbell,01/30/2022,00:52:14,Vehiculo,Cerca a la universidad nacional de Colombia,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Derrick Cooper,01/29/2022,10:28:47,Vehiculo,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jeff Newman,04/08/2022,09:12:13,Celular,En el centro de la ciudad,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
John Robinson,06/26/2022,10:07:07,Computador,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Sabrina Harrison,05/13/2022,06:36:16,Vehiculo,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Andrew Kennedy,04/12/2022,00:47:21,Vehiculo,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Elizabeth Wright,08/01/2022,22:48:37,Papeles,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Michael Garcia,01/05/2022,03:28:09,Computador,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Heather Campbell,07/31/2022,21:31:13,Billetera,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Jerry Stewart,04/07/2022,20:47:20,Computador,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Amanda York,03/24/2022,03:26:40,Celular,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Brian Phillips,06/21/2022,20:06:28,Papeles,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Gregory Small,04/18/2022,01:05:16,Bicicleta,Cerca a la universidad nacional de Colombia,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Brian Martinez,01/13/2022,18:27:41,Computador,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Kevin James,02/10/2022,06:03:18,Celular,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
